,ClusterID
cell1317,3
cell1389,3
cell764,0
cell157,3
cell191,3
cell1668,2
cell521,1
cell91,3
cell1168,3
cell1898,0
cell777,0
cell1929,0
cell341,1
cell1036,3
cell598,1
cell50,3
cell527,1
cell1054,3
cell42,3
cell195,3
cell46,3
cell205,3
cell1083,3
cell1348,3
cell1136,3
cell1015,3
cell329,1
cell1096,3
cell1402,3
cell1493,3
cell989,3
cell549,1
cell1702,2
cell1983,3
cell1694,2
cell14,3
cell909,0
cell1977,3
cell1872,0
cell435,1
cell1403,3
cell1255,3
cell24,3
cell129,3
cell1645,2
cell966,0
cell70,3
cell1786,2
cell1548,1
cell1614,1
cell994,3
cell1487,3
cell1669,2
cell1632,2
cell1601,1
cell27,3
cell1944,3
cell366,1
cell1811,1
cell968,0
cell892,0
cell1427,3
cell471,1
cell953,0
cell1086,3
cell1796,1
cell313,1
cell262,1
cell1275,3
cell72,3
cell75,3
cell1578,1
cell776,0
cell1690,2
cell470,1
cell315,1
cell1251,3
cell532,1
cell1615,1
cell69,3
cell586,1
cell1491,3
cell1093,3
cell1959,3
cell493,1
cell1360,3
cell1685,2
cell1756,2
cell996,3
cell1572,1
cell330,1
cell116,3
cell1679,2
cell1473,3
cell194,3
cell1341,3
cell987,0
cell599,1
cell1263,3
cell1413,3
cell193,3
cell1293,3
cell327,1
cell395,1
cell975,0
cell272,1
cell1883,0
cell1432,3
cell969,0
cell604,1
cell914,0
cell148,3
cell831,0
cell20,3
cell802,0
cell1146,3
cell1613,1
cell589,1
cell837,0
cell1585,1
cell1133,3
cell1574,1
cell895,0
cell364,1
cell79,3
cell1527,1
cell253,1
cell1315,3
cell1252,3
cell1438,3
cell1154,3
cell61,3
cell1505,3
cell600,1
cell423,1
cell1557,1
cell1287,3
cell1687,2
cell1848,1
cell533,1
cell615,1
cell1903,0
cell1665,2
cell1454,3
cell1660,2
cell565,1
cell472,1
cell674,0
cell1478,3
cell1344,3
cell1110,3
cell1542,1
cell350,1
cell49,3
cell1719,2
cell1712,2
cell182,3
cell352,1
cell82,3
cell704,0
cell503,1
cell284,1
cell451,1
cell1942,3
cell757,0
cell408,1
cell1404,3
cell52,3
cell1327,3
cell97,3
cell424,1
cell1798,1
cell1728,2
cell1776,2
cell199,3
cell1609,1
cell1546,1
cell1833,1
cell1511,3
cell1644,2
cell1398,3
cell1,3
cell236,1
cell1925,0
cell274,1
cell122,3
cell873,0
cell377,1
cell1902,0
cell868,0
cell464,1
cell1297,3
cell33,3
cell655,0
cell1501,3
cell404,1
cell775,0
cell1145,3
cell275,1
cell900,0
cell1406,3
cell1180,3
cell1999,3
cell1676,2
cell1312,3
cell859,0
cell110,3
cell970,0
cell768,0
cell1907,0
cell1444,3
cell1332,3
cell1043,3
cell972,0
cell773,0
cell1954,3
cell381,1
cell1070,3
cell220,1
cell1987,3
cell139,3
cell799,0
cell452,1
cell1581,1
cell1057,3
cell1410,3
cell1887,0
cell1762,2
cell1589,1
cell1747,2
cell1076,3
cell708,0
cell433,1
cell1044,3
cell1122,3
cell1259,3
cell389,1
cell1187,3
cell502,1
cell1177,3
cell1841,1
cell941,0
cell1429,3
cell1587,1
cell222,1
cell1943,3
cell316,1
cell1248,3
cell752,0
cell530,1
cell1759,2
cell561,1
cell1900,0
cell609,1
cell993,3
cell399,1
cell1994,3
cell173,3
cell155,3
cell744,0
cell1161,3
cell1349,3
cell340,1
cell1875,0
cell730,0
cell597,1
cell792,0
cell235,1
cell1242,3
cell107,3
cell1465,3
cell711,0
cell1064,3
cell737,0
cell800,0
cell1439,3
cell888,0
cell1009,3
cell696,0
cell1769,2
cell1904,0
cell886,0
cell896,0
cell1188,3
cell358,1
cell542,1
cell56,3
cell1839,1
cell1693,2
cell774,0
cell683,0
cell28,3
cell1440,3
cell1203,3
cell1695,2
cell541,1
cell753,0
cell160,3
cell179,3
cell1419,3
cell1435,3
cell124,3
cell111,3
cell1720,2
cell39,3
cell1024,3
