,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
cell1,2.827244031151998,5.359506232002512,5.053134593463948,5.188998875463516,6.223732061652077,2.5175470453271083,2.1347498456231486,4.7169846276674745,1.6603103508668586,4.869048193263819,5.235841011658025,5.3024943616583275,4.499989855803388,4.1715713212447785,1.2228249050938609,4.16476917138989,1.9667766126527855,4.980169333885423,3.9651203706573086,2.1374663402087815,3.409338461452342,4.9475867300545175,3.6509294158228163,2.8258922200817076,3.996750678702676,4.597202132756985,5.392800034184757,2.8875257281464353,4.0510113122321005,3.321833747812145,4.131171281095209,3.796583259209623,6.3377983099357165,3.1621821557381584,3.1986216307442548,3.885625130656601,3.5636592329941186,6.253853370871125,1.1333005958990636,2.980213519005499,3.4863397171382946,2.3461781069966667,2.90611260788083,3.70651669352352,3.9693403651499284,4.1296339038899275,5.809350623641084,2.74527485005083,3.890161665494114,4.316587326697662,3.1922397338582766,5.055358979111676,3.419210395773338,5.882520738110641,4.620274490886626,2.3733733868687,4.564137214507148,3.7280471395079324,4.022331118824129,1.7567786337460007,4.793539684564371,5.469691406215574,5.297718940858879,3.221865342212379,4.70367176772834,2.440876265717463,4.4195339387041805,3.4352160674798498,1.3723784944902238,4.088002140273085,4.284416521300134,4.738563187094007,1.9502013512874083,2.3603277855119384,5.6076124355929595,2.813564863506912,4.792919251992716,5.749312171137543,4.484313391170549,3.3074474986800326,2.0133671890058125,4.838570235236255,3.5131960617051377,2.652556837280526,1.6868704326851665,2.8498403603623252,1.9586713200214507,4.435617081450156,5.9537086845698735,3.73385502462862,4.89047905141071,4.184709899548075,2.1413341178516165,6.860010593378746,2.320908424113009,0.7167619684739776,3.8662804379183697,4.901840526087281,2.2884958690225057,5.380039500620685,4.142992261957635,3.16182292455684,3.0066175287548162,2.2949980501384726,2.1602407012187883,3.7453698840850946,1.1192113124929934,2.4537288164990283,2.213003230878949,2.4393594193844703
cell2,2.3178292398094147,5.299142115882688,5.130787061968354,4.8735012958905175,6.23435763690734,2.342246834371015,2.620990626843052,5.021344310621221,1.564724183841776,4.872672476769496,5.301856578490232,5.506977994750181,4.907838189244719,4.16848637803446,2.773336542753935,4.208408293938982,2.6680494095374514,5.134777223699933,4.393773275693259,1.4947826363196495,2.247578660457457,5.166975010023679,3.972364819762372,2.8082824008408336,3.4599559097649153,4.77989560660803,5.555471062572712,2.9123826028811517,3.8414668000801595,3.672456205292889,3.7151984720093423,3.1726107463486586,6.148834045002231,3.418755428777394,3.84970164973185,3.207385536817069,3.1981966406487805,6.002959023350557,1.442927725597839,2.8065957190549846,3.1831814746241007,3.6157066548292214,2.9879245402163996,2.271178322943381,4.269017223377489,4.55909764388005,5.54940089383621,2.9995701836505795,4.387170494787866,3.593349950228345,3.187142585106394,4.953398826511037,3.867851948142077,5.966823576928892,4.810718288262283,2.4472635398060225,5.112008737633306,3.428418352580001,4.113986034228657,1.659715474926589,5.16089206932543,5.6408197061414524,5.128726260388405,2.777338047285918,4.52941267422876,2.59349663992634,4.682874741236009,3.3467226678279376,2.284053081186926,4.3160420553602235,4.9336479194223175,5.07113911878932,1.6973731353071906,2.4194444829227266,5.6366133880538465,2.424496206587367,4.5098413372488375,6.126906660755548,3.8438757498458074,2.6133943067258403,1.9559033176852647,4.5139170959432935,3.200411649945184,3.055631463992922,1.4310955403016865,2.830454948682687,1.5329751043179953,4.8814443520196225,6.129983006472943,3.9975757109872845,4.867702072836719,3.5841660948491856,1.8620561326133624,6.425896615199132,2.3017154674431066,0.7394536047762467,2.683863627241066,4.559031292510993,4.100298531918436,5.280377428498228,3.800363397299394,2.867774221364422,3.8622573900429678,2.6594306881309957,1.7570999274617916,3.856183336189749,1.2938064249406904,2.6904441693516032,2.233245869197086,2.034502912639853
cell3,2.9898656241088686,5.428341395941222,4.338564168772305,5.255925613127884,6.645575172115465,2.647138318792347,3.0161585851779376,4.398401101660861,2.2598288681406618,4.284222750624907,5.403745268741347,4.676130475495098,4.41768752817391,4.415921095458901,1.3371129452396022,4.473187111267002,1.8576841367017283,4.326461142306966,4.517411204218775,1.4601112211088747,3.8623175634121445,5.599534415811059,3.714241724154446,3.2571041230683195,4.6982462296953855,4.1866901170171555,5.298115781991863,2.195835674296174,3.97435558427604,2.7183101546683046,3.9674709584258436,2.164492321193662,6.51655475635912,4.501698363791036,3.0610375751496433,3.4679477504220997,3.2336070197824527,6.306104802622222,1.3331037322370614,3.039449482751301,2.5808807075729576,2.6375620042861248,2.750794217269223,3.3381166197119194,4.845888203850206,4.2006958595819075,5.636639466218788,3.754793321500681,4.398533864007622,4.135238161470466,3.934236561820343,5.192588130114264,3.3661102541582575,5.664875907556499,4.03557318093197,2.4004424497543626,5.315425914664832,3.8287273525732397,4.3078246185685325,1.7874708902185323,4.895450565075056,5.124023658777459,5.319917435471371,3.1456469202919815,4.599870694487512,2.335002643229271,4.718501961591337,3.6825886382221804,1.6322818738091969,4.309554674262124,4.913286735957782,4.450154302570016,1.5384325316838037,2.560759907246139,4.96103266044491,3.208887201083235,4.84686895241285,5.480915731192829,3.7433730204908597,3.559808648039488,1.7350377068269658,4.601129590882321,2.7924172416808632,2.7890301981113006,2.135971909546311,3.469676776822167,2.1622292260613722,4.622762444750814,6.148102722162784,3.9203293351699973,5.098752452336881,3.2877996125589566,2.4711307969142324,6.526032400927368,2.505637055656789,0.7204735865973765,3.315762678946398,4.527617515556931,3.0112100614278052,5.347490943123159,3.7431634208089757,2.7927276038020388,4.010502558763101,1.5465693208605784,2.114073534929273,3.8402083363700625,1.0482048916361328,2.148377900016234,2.1211060829441055,1.5937408478594235
cell4,3.3587343367018376,5.37644872790818,4.558707652905291,5.2397481021142385,6.559885917912413,2.503038926110471,1.9704325619018697,4.687834637713841,3.066392198664832,4.756228320503476,5.300270292670554,4.943333733524818,4.845732017595465,4.207393238031577,1.1027126650571688,4.476773776363313,1.479238295774359,4.909234322939091,4.400159806186366,3.244991308907805,3.5903992886988965,5.210226975468851,3.730145013729903,3.221433988269861,4.020218370575974,4.561386660277513,5.479161492307989,2.486014199845745,4.380982627160466,3.0794516176516655,4.499753795127665,2.316636459385009,6.388279372897444,3.421184190798913,3.3654551216113378,3.4014490453033686,3.111517598269814,6.116048582324133,1.023197942858736,3.5132871166840225,2.654418743926167,2.747032527287368,2.5454324720882187,2.6094584753293018,4.81466759897608,4.592536554737086,5.580276570483339,2.883810314542234,4.195856873495947,3.8756385785571266,3.7502868434565633,5.016479002922526,4.070846372445068,5.907634520974781,4.570594992760555,2.0847808519883384,5.152459447251647,3.3316775058068897,3.904050294032591,2.290837283793082,5.303756522520423,5.2366477866117185,5.153395344377585,4.105549521161339,4.832573566988007,2.59630064884051,4.734828464677914,3.8330872154714184,2.59674686311857,4.236099508375601,5.2025502753689175,4.743572643305912,1.7801201122999468,2.1238289506643593,5.128823539775015,3.1254786113515025,4.450399362820683,5.933139448157227,3.671734649719053,2.9565042567067863,1.6421200091432229,4.678961540209347,2.653827947909555,3.357310546075417,1.5470223046476392,2.9853973041158923,2.1946789553627175,4.849654590075551,5.65042398387386,3.7178159508415054,5.079529285510732,3.514284495202634,2.692569693793374,6.437830429301657,3.1313052517811926,0.7103638320145258,3.523696441713602,4.7795575692662045,2.489431879760817,5.342137603449962,3.8253881401633962,2.467228916180868,3.20167985806555,2.5509644542850713,1.5308531316632115,3.826883164403575,1.116805501835307,2.2886481500139095,2.8798003063048974,2.8763825687790416
cell5,2.90752657252775,5.339400284084888,5.3352916864884925,4.941984185181785,6.5203105104323,2.7638019005786716,1.9193541894074095,4.548934290679031,1.8403229127234364,4.621612447526241,5.4184151947868076,5.323020597214821,4.673087870948368,4.447968459068204,1.5051888968741158,4.418978086059365,1.2824510063304038,5.087004309279574,4.086661582936539,1.4769406949431803,3.968806747456901,5.299144829784609,3.6426297171908035,2.430608782222924,4.052160908643179,4.8361935632002355,5.452758719210376,2.8549338091644656,3.8568044645824573,3.632481972709441,2.441202969823622,1.4571524074068627,6.006736591529456,3.3615004725366187,3.6967086826208204,4.049902080961849,4.268165131537776,6.264700129142011,0.9187566658836686,2.992933640366918,2.5798593436107953,2.12126226924659,3.0122478996035182,2.243222995817941,4.818223507031271,5.068598452969448,5.644257614660309,3.1943443630754045,3.7743867854657998,4.125523136191348,3.499502077883423,5.111125364529777,3.8919361345371066,5.689801457891109,4.927911687790634,1.7323521931165966,5.126327470425908,3.8314198086622744,4.294366172243035,2.6974783787682313,5.366870424119645,5.467225519590118,5.2846467752256,3.4251876451388514,4.558554843101471,2.059225700566229,4.220477874598718,3.5310597785406417,1.3191857759043708,4.317916025965598,4.9051033839335885,4.347874632861467,1.8063771986581951,3.00336680186076,5.502046057816491,3.3506172333935265,4.70685729501831,5.928634832045651,2.554149374622434,3.0010676191417405,2.022621832269322,4.651243008429235,3.5116655418328215,2.394094711961934,1.4181977499030636,2.104228021729251,2.5585871877872637,5.000945400566076,5.7243465714968895,4.209697449255571,4.93292845062674,3.671443306208624,2.639596436518255,6.431627182160056,2.3676565946546435,0.7127022639213589,3.051062613152003,4.567908980982349,1.5551898064530343,5.361618330931548,4.118345380136529,3.201664405139774,3.6374905242515214,2.180245353469523,1.7538542885488386,3.588719754847671,0.9512129995749493,2.463793860563617,2.0276302521871727,2.892541173955199
cell6,3.0657114438344832,5.340992780928008,4.7780448083066664,5.041892952920463,6.56594274605136,2.1052217197818983,1.920203640475972,4.584953927486133,1.2655437294285716,4.550898137840561,5.2968724341364934,5.098572467368788,4.443258303594703,4.255333427177884,1.6805236797534788,4.522637378067674,1.7632458037654857,5.025234296853037,4.095421260247584,1.3085937639755958,4.720068908010129,5.304997303670761,3.7696274988073855,2.965507884152691,3.8598002929498687,4.271816014841411,5.701080335658526,3.1947528740498656,4.4948895379324885,3.2932146673252314,3.679210988959781,2.2055644179541325,6.372821938656734,3.491718336394692,3.2097629741112885,3.864237838292257,3.4696098559241744,6.241292798950672,1.6459169567043856,3.2494163037889856,3.5225713719175555,2.31613052864266,2.7020909152372066,3.171729217206123,4.817676182191351,5.0910715533664055,5.797261455740131,3.0801460281559905,4.59816530976635,3.6603996824020246,3.342935997664636,5.051767885427351,3.7088632909611996,5.8138429890989265,4.159515605446926,2.4230571019109193,4.705701762561711,3.568023256043816,4.1078285830078425,1.939630590268594,5.367354451630563,5.311131276458537,5.017266720525248,3.3346777928779003,4.6735926174624876,1.9319593542655085,4.101894849297317,3.1556195150957955,1.0630217865617846,4.356147382952595,5.2731798717117115,4.538747050684727,1.5008819502299064,2.547606892047452,5.27042722508057,2.8095840212904797,4.655590530640292,5.863495893502546,4.803626580895146,3.107360631560045,2.172253671286721,4.701653439336528,2.8843577515094205,3.151394284698464,1.7247492409215757,2.246057765299174,2.4465914196997716,4.855305564098908,5.628732186354012,3.9680114667246196,4.895992375530293,3.778580925937815,2.9920869300359287,6.412615053633725,2.963268411140469,0.7271101959760078,3.109783173210692,4.446591734668072,2.9609054643967676,5.258866314917617,3.9691715369839238,2.51732799314124,3.8341301993240897,2.6798813082761574,1.225539698373399,3.560638805264865,1.345697972445097,2.272685780135659,2.1821308062499414,3.102560787078289
cell7,2.9488139318353914,5.450294194721899,5.144062575311582,5.138814930915574,5.633318747741343,3.011986413240944,1.2769569682379445,4.5299801563458795,1.5431779610928278,4.775634788459096,5.430385568036536,5.140577256123467,4.5224411292386435,4.272614039048446,1.0643779486150144,3.762446964745652,1.4168807304090878,5.017893962859946,4.105996379117227,1.2796905954745958,3.9618523945665416,4.633557653646378,4.051569403727313,3.017689383150958,4.192552515915227,4.803061207513378,5.808140990128621,3.451002495844775,4.595025093008064,3.0997476800994788,5.052609311371805,2.469435079517387,6.265577086797408,3.716922838211006,3.5877722403174888,3.6876674831250855,3.9087147010720167,6.195444224088578,0.8940165127520021,3.4524989882446135,4.032956212322909,2.676040935715014,3.3140511786207476,2.821613505594929,4.962520978036014,4.640537021647797,5.664617071938185,3.6967859915567756,3.8618622108776357,4.008163745196628,3.2229958772211087,4.905333730124522,3.6076521412965583,6.147117351806092,4.508649744060062,2.620905210211051,5.113118407278916,3.3915921190507063,4.27545716352456,2.251328583258584,5.389130842563445,5.191301443911195,5.146416142793353,3.9590325966836586,5.055328520100131,2.5786000867881964,4.863346468710899,3.564528544920555,1.9874728911378845,4.35008837614854,5.220211666034345,4.679614347736332,1.7210961899952981,3.240842266481682,5.420691471159141,2.402764874253942,4.338378875305418,5.964992314621289,3.087569142309362,2.7097889772556014,1.9553385396343104,4.927306738460268,3.0874982490778593,3.138110887811024,1.5381567256969533,3.042667900816272,2.643600822685151,4.870751847693818,5.4640642126290135,4.086150804194427,5.003325478609876,3.86802714757242,3.150371997411102,6.473923444185341,2.9641210342024373,0.7116070889600538,3.2814025354668592,4.263996824500149,3.0186316178670753,5.297633492027348,3.96201668182099,2.4728302755560874,3.366572660890347,1.5917426630340425,2.246256938033084,3.7542100128907783,0.9047854481007311,2.427046160749888,1.8710847388638574,1.6436455569071196
cell8,3.053486184991076,5.431578979729797,4.638144181089918,4.6685591055669,6.000716087399354,1.6843488302038812,1.8966270323077898,4.571771669091435,0.913853185264899,4.5771835182523075,5.326595792791072,5.0623785635524055,4.1617775095045015,4.020679380851953,1.502970186271877,4.01088145028969,1.309325032335564,5.153417592088716,4.875832352897206,2.317377065536538,4.073184544412518,5.59028810313687,3.9182285907637406,3.034390938379372,4.137043779828682,4.554571632544963,5.57700298240541,2.9032658109818743,4.044997725643798,3.6118122449780268,4.053996435826169,1.8172407246413735,6.318193390027363,3.4619062914739445,2.989585455368259,3.047716789952601,3.2696070632021126,6.098719538491573,2.2593171871915376,2.806239290338047,3.476456918185883,3.3605905617610414,2.6967901606243756,3.299981689973081,4.853808570071696,4.638337501254288,5.859237322932924,3.3481174846252886,3.5472610041585257,3.1621292607561644,3.412664528905392,4.899874460566571,4.181494703855287,6.01689103522768,4.605606021147023,2.065835785914824,5.106804354523133,3.6047564011128794,4.379948241104971,2.4496454145434727,4.652435616628733,5.656650585885004,5.095423478586838,3.6761631623162847,4.96381875409324,2.428396387618234,4.9675102994879925,3.8208506114656764,2.9483596495457025,4.395290613834494,4.525228860778542,5.129783972419734,2.686491701783091,3.1803717755395953,5.340528407886343,3.115582782183209,3.972441256651892,5.6796227808958815,4.290551129005253,1.999556755506672,2.2535734285985574,4.633454993646148,2.98814231165713,2.4382484511894575,1.3340785684946888,2.1600307659081053,1.7990504820207618,4.731163945612522,6.40441861273657,3.774369691555128,4.920767431096142,3.4961341484014414,2.493753958963883,6.535405488416062,2.485416260114092,0.7049842348969334,3.3391757563445372,4.446976098568623,1.7537666245245227,5.4726584528654865,4.1753006400276025,2.169751175950254,3.5030961630161825,2.268200854569481,1.8621636341419217,3.768610767331385,1.0121258208521546,2.020364570613859,2.179250171475804,1.6255595476420404
cell9,2.9604910436489265,5.365583922129165,5.456484673006246,4.933178455439055,5.841627392255136,2.744364419567759,1.5361885555636725,5.2314137398678415,1.2204857423399078,4.858285364588214,5.234038250728132,4.98897890368218,4.632177617260797,4.10425936820072,3.5178379891649048,4.471715469862984,1.1778603018490592,5.220957869850979,4.334831854303806,1.2208585476564706,2.1397165437854575,5.256354212393966,4.16357447288407,2.9548481902394634,4.035351606445666,4.737279107919127,5.163090326940528,3.841591478422973,4.651998508748684,4.0055738738111835,2.872820688924328,2.5994668669484837,6.185696614668353,3.318486259724728,3.1847867094190114,4.324151224134274,4.1410029303213065,6.113721676766636,0.9174262349144594,3.0794812370375193,3.3521733380263963,3.712478346467405,3.829597368124557,2.7635977201428616,4.822209254476197,4.804495162608356,5.982949389009165,3.6705092221736684,4.067577394542679,4.221512902303216,3.291407003069909,4.827042918478096,4.039748797881242,5.98326319564882,4.93066978043884,2.1359906229962897,5.169559504636576,3.990379300538939,3.8486552912980683,2.6663411894410687,4.277977837694831,5.609827366833363,5.47680776153347,4.219705275062691,4.660408281978792,2.5540817934586366,4.466673818604529,3.988427169761729,0.865838040636129,4.1388908057561355,5.117114342429797,5.24716292142431,2.0648854015322353,2.918396388569583,5.285927324854622,3.379048143758056,4.087902815898218,6.018313576117394,3.1027198710400468,2.660482935579988,1.680631864532953,4.42688876619781,3.6980516514108523,2.9615218391829923,1.1931645888961522,2.686918082370154,2.066874540888577,4.954487789180883,5.4557696745994955,4.117983286560673,4.722868615275789,4.292691555306742,2.620762947506459,6.319799017986639,2.626543335238005,0.710533849487937,3.4095997270419947,4.547369958150467,2.2075379382085183,5.309191017293147,4.13167515572301,3.609310276308317,3.1637407810202727,1.627675896829249,2.7999556350979447,3.763206303764273,1.033698602542587,3.094369087260273,2.009866231638822,2.071361116695179
cell10,3.5142032099847396,5.454006680599608,4.7543899537129,4.913295311793096,6.423813204485937,2.826638065483148,1.2792619820324167,4.454131753051173,1.0777790281928898,3.934307839881149,5.21757799551255,4.60070709492677,4.139417040853275,4.404681612249544,1.4430926360688134,4.366796334132952,1.2389991224605534,5.020703146526056,4.867130942072416,1.7452592887767637,2.933169533827382,5.640513421684178,4.173285965308532,2.5836373870872555,4.261860029730064,4.634081159883686,5.047942618881536,3.6905804581136334,4.74640285039839,3.632487047464759,4.977432259137005,2.449537449438828,6.464177995248471,3.4764919243095296,3.3692784194510463,3.627201755666692,3.6214833452898705,5.826292490657336,0.8294257401794799,3.579880881658757,3.1773698110099313,2.1652060428332556,3.210799441718915,3.8231236622238,4.623534554429791,4.875463936408929,5.476710355097351,3.6668637814576037,3.5472133718658907,3.817464651247032,3.6397553500829214,5.040408080316037,3.890918499493061,5.845110105714558,4.638364078245808,2.911525570167514,5.173754522029215,3.929271676890976,4.4321907397118485,1.6767650987822331,4.6980551101289425,5.09494411703287,5.749498162546384,3.482280882080151,4.97192481012979,2.159775862322006,4.653425026388761,4.018367515068558,2.957040891465125,4.186351284383265,4.445181284782879,4.830988317171543,2.0590405300090797,3.3243992455164393,4.7634670112769975,3.676249575885551,4.862052456604626,6.1485533426747505,4.352677069535324,2.436212625995359,2.039169296752187,4.691982524061766,3.4129079552649033,2.8459552935504533,1.6972084322493965,2.3660862372403337,2.575978447779684,4.836613819189878,5.7173238129007675,4.097897817261637,4.834025870362348,3.8664396612877496,2.903198807474097,6.430514287418517,2.806219643193329,0.7305746134857736,3.4311922062030167,4.2751270047303676,1.8760734693974817,5.404272462928703,4.080351151676287,2.675848890749775,3.4916662240306553,2.573977216267964,2.0014963003779487,3.7512335055583597,1.0767576173146725,2.184341925553729,2.4804641007781276,3.704131146582251
