,x,y,ClusterID
cell1,41,66,2
cell2,42,66,2
cell3,43,66,2
cell4,43,65,2
cell5,43,67,2
cell6,43,68,2
cell7,44,66,2
cell8,43,64,2
cell9,45,66,2
cell10,44,67,2
cell11,44,64,2
cell12,44,65,2
cell13,45,67,2
cell14,45,65,2
cell15,45,64,2
cell16,45,68,2
cell17,44,63,2
cell18,46,64,2
cell19,44,62,2
cell20,49,50,2
cell21,43,69,2
cell22,44,69,2
cell23,44,70,2
cell24,45,63,2
cell25,45,62,2
cell26,46,66,2
cell27,96,62,2
cell28,43,70,2
cell29,46,67,2
cell30,46,65,2
cell31,44,71,2
cell32,43,71,2
cell33,44,72,2
cell34,42,70,2
cell35,47,64,2
cell36,47,65,2
cell37,44,61,2
cell38,76,84,2
cell39,47,66,2
cell40,43,72,2
cell41,42,68,2
cell42,42,71,2
cell43,45,69,2
cell44,46,68,2
cell45,48,66,2
cell46,42,69,2
cell47,46,69,2
cell48,46,63,2
cell49,46,62,2
cell50,41,71,2
cell51,45,71,2
cell52,78,77,2
cell53,47,63,2
cell54,48,65,2
cell55,45,72,2
cell56,45,73,2
cell57,47,68,2
cell58,47,69,2
cell59,48,63,2
cell60,48,64,2
cell61,48,67,2
cell62,46,71,2
cell63,49,66,2
cell64,46,61,2
cell65,43,61,2
cell66,49,67,2
cell67,48,62,2
cell68,49,63,2
cell69,50,67,2
cell70,49,65,2
cell71,48,68,2
cell72,44,60,2
cell73,47,62,2
cell74,46,72,2
cell75,49,64,2
cell76,45,74,2
cell77,48,69,2
cell78,50,65,2
cell79,47,71,2
cell80,47,70,3
cell81,50,66,3
cell82,47,61,3
cell83,49,68,3
cell84,46,73,3
cell85,51,66,3
cell86,50,63,3
cell87,50,64,3
cell88,48,61,3
cell89,47,72,3
cell90,46,70,3
cell91,51,65,3
cell92,85,47,3
cell93,49,70,3
cell94,49,62,3
cell95,49,61,3
cell96,50,69,3
cell97,51,69,3
cell98,51,63,3
cell99,48,60,3
cell100,48,72,3
cell101,50,68,3
cell102,52,65,3
cell103,48,70,3
cell104,46,60,3
cell105,48,71,3
cell106,50,70,3
cell107,47,60,3
cell108,51,64,3
cell109,49,71,3
cell110,51,68,3
cell111,50,62,3
cell112,51,67,3
cell113,46,74,3
cell114,47,73,3
cell115,51,70,3
cell116,52,64,3
cell117,52,63,3
cell118,44,74,3
cell119,53,64,3
cell120,46,75,3
cell121,50,87,3
cell122,50,60,3
cell123,50,61,3
cell124,51,60,3
cell125,50,59,3
cell126,49,59,3
cell127,47,74,3
cell128,53,63,3
cell129,46,76,3
cell130,52,69,3
cell131,51,61,3
cell132,46,77,3
cell133,48,59,3
cell134,52,67,3
cell135,51,62,3
cell136,45,60,3
cell137,52,68,3
cell138,47,77,3
cell139,48,73,3
cell140,50,71,3
cell141,52,61,3
cell142,47,59,3
cell143,49,73,3
cell144,53,65,3
cell145,53,61,3
cell146,45,59,3
cell147,48,74,3
cell148,68,85,3
cell149,48,58,3
cell150,53,62,3
cell151,50,72,3
cell152,46,59,3
cell153,52,70,3
cell154,62,70,3
cell155,52,66,3
cell156,52,60,3
cell157,51,59,3
cell158,50,58,3
cell159,51,71,3
cell160,45,77,3
cell161,47,75,3
cell162,54,63,3
cell163,52,71,3
cell164,47,76,3
cell165,53,68,3
cell166,52,72,3
cell167,51,72,3
cell168,46,78,3
cell169,52,73,3
cell170,50,57,3
cell171,54,65,3
cell172,53,70,3
cell173,54,68,3
cell174,54,64,3
cell175,52,62,3
cell176,65,49,3
cell177,62,88,3
cell178,48,75,3
cell179,48,76,3
cell180,46,79,3
cell181,53,66,3
cell182,53,72,3
cell183,53,67,3
cell184,50,73,3
cell185,54,62,3
cell186,51,73,3
cell187,55,63,3
cell188,54,69,3
cell189,47,79,3
cell190,52,59,3
cell191,48,77,3
cell192,47,78,3
cell193,47,58,3
cell194,48,78,3
cell195,54,67,3
cell196,76,45,3
cell197,53,60,3
cell198,49,74,3
cell199,51,57,3
cell200,50,74,3
cell201,53,71,3
cell202,51,58,3
cell203,49,56,3
cell204,50,56,3
cell205,55,64,3
cell206,53,73,3
cell207,56,64,3
cell208,87,74,3
cell209,55,68,3
cell210,47,57,3
