"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","102","103","104","105","gene105","gene106","gene107","gene108","gene109","gene110"
"cell1",2,87,74,50,367,7,0,26,0,48,91,94,22,21,0,10,0,55,56,9,19,26,37,6,52,54,99,9,11,16,34,26,260,3,31,12,14,110,0,8,0,17,7,1,35,26,101,12,23,15,35,52,35,173,47,5,86,14,42,2,111,93,71,8,48,10,49,8,5,27,14,92,1,6,156,9,38,204,0,22,2,65,13,3,0,13,2,61,157,31,49,42,7,431,2,0,13,76,0,90,17,7,2,0,3,21,0,3,2,0
"cell2",1,107,72,96,154,1,6,86,2,51,67,137,56,32,0,19,0,92,16,0,0,68,25,0,34,64,123,10,51,11,80,6,148,31,6,14,7,216,2,8,4,5,18,7,37,59,95,7,47,17,9,82,21,199,59,0,71,16,25,0,60,120,70,9,37,9,45,26,7,30,67,86,0,5,142,5,71,203,22,0,8,58,14,11,7,6,4,55,175,38,65,6,12,273,5,0,27,37,19,108,28,3,18,2,1,22,3,5,0,4
"cell3",0,107,15,72,288,3,0,10,0,31,61,44,23,35,30,15,0,46,5,0,26,76,28,25,12,36,68,8,70,7,37,7,353,36,12,11,19,299,0,11,6,0,5,16,54,39,130,38,25,29,3,71,9,92,40,14,107,10,14,3,91,81,83,23,27,9,40,23,0,32,153,31,1,10,34,18,36,89,5,8,2,69,9,14,3,6,0,43,149,25,27,21,12,313,3,0,2,36,1,102,20,5,28,0,1,14,0,2,2,4
"cell4",7,97,75,101,288,2,9,41,0,51,84,30,79,28,0,31,0,77,40,0,24,139,6,1,36,67,87,8,13,10,93,6,170,7,31,16,31,223,2,21,2,11,3,3,39,23,46,9,19,12,7,77,32,122,23,0,86,13,29,0,117,102,70,38,24,7,66,18,4,41,70,38,1,0,68,16,53,165,36,3,1,51,7,12,0,7,3,31,142,21,85,14,8,267,11,0,1,38,0,88,27,16,18,0,3,15,0,2,2,12
"cell5",1,98,100,78,283,1,0,37,0,45,101,96,40,33,0,59,10,63,3,0,53,88,13,5,32,84,96,3,0,20,0,0,204,7,14,33,12,171,0,15,8,2,9,4,56,29,72,11,57,8,10,44,27,102,68,1,103,23,13,1,120,64,92,14,51,4,25,14,0,31,48,49,0,1,79,7,63,191,0,0,1,57,17,13,0,3,1,69,172,12,67,35,2,272,12,0,31,60,1,100,31,3,14,2,0,16,0,6,5,18
"cell6",22,89,50,85,278,7,2,30,0,63,99,80,45,31,12,29,13,69,70,1,15,86,25,14,35,41,140,12,2,11,12,3,268,11,30,30,23,255,0,15,18,17,10,3,46,71,59,6,29,26,16,87,30,169,47,6,43,11,36,2,57,116,77,16,82,3,43,31,0,29,96,85,0,10,72,14,54,200,39,8,2,47,5,12,0,3,3,50,324,15,40,36,3,311,16,0,14,57,26,99,33,6,23,5,2,18,1,1,0,15
"cell7",2,102,78,73,113,5,0,56,0,28,99,61,33,22,0,31,0,81,29,0,22,76,25,19,26,27,143,14,34,6,33,15,202,1,6,18,32,225,0,5,15,25,7,16,52,21,164,24,29,24,2,55,24,115,54,4,82,15,20,18,114,121,64,24,18,11,43,14,0,37,11,62,4,27,73,1,54,179,14,1,1,29,4,0,0,10,1,62,92,22,70,4,4,265,1,0,11,46,2,89,24,8,11,0,2,16,3,6,0,0
"cell8",3,76,81,35,252,1,0,25,0,40,107,55,42,24,0,12,11,50,63,1,37,121,17,7,8,51,135,11,2,9,7,0,295,4,9,15,27,129,0,10,7,0,7,0,56,88,100,17,14,6,16,54,15,205,25,1,44,9,25,1,43,109,77,23,55,2,58,16,0,29,27,32,1,17,47,6,9,177,0,0,0,77,6,16,0,0,2,53,304,15,51,6,7,291,4,0,8,29,5,99,16,2,4,4,3,19,0,5,13,11
"cell9",24,110,104,55,246,6,0,96,3,68,84,93,39,33,0,38,0,65,59,9,1,95,33,4,36,50,91,22,42,28,66,0,272,3,14,56,8,261,0,12,15,0,14,9,55,77,202,15,21,27,11,85,45,184,96,13,65,27,18,2,37,164,147,37,54,11,32,24,0,25,78,84,2,21,101,4,51,184,0,13,0,37,19,6,0,6,8,78,163,38,60,38,5,217,7,0,15,68,2,102,37,24,10,10,7,15,0,9,1,8
"cell10",5,93,90,75,285,14,0,23,0,18,103,68,57,15,0,40,0,51,56,8,2,51,32,1,11,32,92,7,59,19,185,3,231,27,3,11,5,227,0,12,1,14,12,5,48,34,131,6,12,6,36,73,30,119,37,5,70,22,19,3,35,34,142,36,46,2,26,19,1,33,30,54,2,14,37,15,80,126,1,15,2,11,5,12,0,9,4,46,176,23,64,27,5,264,3,0,14,22,7,76,15,8,21,2,1,12,0,2,3,1
"cell11",14,115,113,89,252,2,16,50,0,26,81,61,48,24,4,22,8,101,25,11,1,129,31,9,17,70,93,6,45,29,6,2,330,18,13,15,20,136,0,4,17,6,8,18,66,37,137,7,9,11,27,54,25,158,70,2,54,8,21,14,42,121,114,11,84,1,42,20,0,28,59,31,0,2,72,4,41,181,22,5,4,56,12,4,0,3,1,65,93,28,65,7,16,265,9,1,10,58,31,89,35,3,24,4,3,14,0,2,0,1
"cell12",6,101,59,13,298,2,2,43,1,26,93,66,21,38,0,60,0,52,41,0,11,109,22,2,40,41,100,21,47,6,61,2,283,18,1,12,1,238,0,5,20,6,2,11,50,18,221,11,30,6,16,100,7,156,31,9,51,28,21,0,47,108,104,15,46,11,71,14,2,30,45,22,0,4,20,20,44,162,0,2,1,67,8,5,8,17,0,73,102,8,59,23,10,225,5,0,2,46,0,94,21,7,8,4,1,10,0,5,2,2
"cell13",2,100,82,72,194,6,1,46,9,33,95,57,39,32,0,11,0,104,58,0,28,64,26,27,36,61,79,12,51,15,15,12,210,10,1,12,10,136,1,6,8,4,2,1,64,33,48,9,24,19,8,29,38,191,61,1,101,28,22,2,16,151,108,23,35,7,48,22,3,32,132,43,2,22,93,8,73,202,7,5,2,36,12,5,18,5,1,47,49,50,60,14,15,312,4,0,20,73,8,91,36,5,22,0,8,16,0,8,4,1
"cell14",7,93,62,77,233,9,0,26,0,30,78,48,40,35,4,47,1,48,52,0,12,16,9,5,30,63,68,6,1,3,0,0,220,7,6,11,13,230,0,11,6,1,7,3,30,69,171,19,24,13,12,76,27,111,56,1,78,13,32,2,18,78,125,12,48,5,54,4,0,35,83,20,0,24,31,17,52,247,8,6,1,37,6,1,0,9,2,66,47,20,66,38,2,254,9,0,9,34,0,96,23,7,5,1,1,15,2,5,3,2
"cell15",22,87,54,78,174,14,1,29,0,19,86,60,43,47,1,28,0,32,78,0,35,73,20,21,22,54,69,10,48,8,11,3,329,18,1,18,5,248,0,1,11,0,3,12,38,24,193,8,31,14,14,78,30,138,71,5,76,24,43,9,36,114,151,31,52,4,42,36,0,30,26,36,2,11,73,4,80,162,3,11,3,40,5,10,1,8,5,76,164,32,76,27,13,244,10,0,10,47,1,77,32,6,14,3,1,16,0,8,0,0
