,ClusterID
cell1317,0
cell1389,0
cell764,0
cell157,0
cell191,0
cell1668,3
cell521,2
cell91,0
cell1168,0
cell1898,2
cell777,0
cell1929,2
cell341,1
cell1036,0
cell598,0
cell50,0
cell527,2
cell1054,0
cell42,0
cell195,0
cell46,0
cell205,0
cell1083,0
cell1348,0
cell1136,0
cell1015,0
cell329,1
cell1096,0
cell1402,0
cell1493,0
cell989,0
cell549,2
cell1702,3
cell1983,2
cell1694,3
cell14,0
cell909,0
cell1977,2
cell1872,2
cell435,2
cell1403,0
cell1255,0
cell24,0
cell129,0
cell1645,3
cell966,0
cell70,0
cell1786,3
cell1548,3
cell1614,3
cell994,0
cell1487,0
cell1669,3
cell1632,3
cell1601,3
cell27,0
cell1944,2
cell366,1
cell1811,2
cell968,0
cell892,0
cell1427,0
cell471,2
cell953,0
cell1086,0
cell1796,3
cell313,1
cell262,1
cell1275,0
cell72,0
cell75,0
cell1578,3
cell776,0
cell1690,3
cell470,2
cell315,1
cell1251,0
cell532,2
cell1615,3
cell69,0
cell586,2
cell1491,0
cell1093,0
cell1959,2
cell493,2
cell1360,0
cell1685,3
cell1756,3
cell996,0
cell1572,3
cell330,1
cell116,0
cell1679,3
cell1473,0
cell194,0
cell1341,0
cell987,0
cell599,0
cell1263,0
cell1413,0
cell193,0
cell1293,0
cell327,1
cell395,1
cell975,0
cell272,1
cell1883,2
cell1432,0
cell969,0
cell604,0
cell914,0
cell148,0
cell831,0
cell20,0
cell802,0
cell1146,0
cell1613,3
cell589,0
cell837,0
cell1585,3
cell1133,0
cell1574,3
cell895,0
cell364,1
cell79,0
cell1527,0
cell253,1
cell1315,0
cell1252,0
cell1438,0
cell1154,0
cell61,0
cell1505,0
cell600,0
cell423,2
cell1557,3
cell1287,0
cell1687,3
cell1848,2
cell533,2
cell615,0
cell1903,2
cell1665,3
cell1454,0
cell1660,3
cell565,2
cell472,2
cell674,0
cell1478,0
cell1344,0
cell1110,0
cell1542,0
cell350,1
cell49,0
cell1719,3
cell1712,3
cell182,0
cell352,1
cell82,0
cell704,0
cell503,2
cell284,1
cell451,2
cell1942,2
cell757,0
cell408,1
cell1404,0
cell52,0
cell1327,0
cell97,0
cell424,2
cell1798,3
cell1728,3
cell1776,3
cell199,0
cell1609,3
cell1546,3
cell1833,2
cell1511,0
cell1644,3
cell1398,0
cell1,0
cell236,0
cell1925,2
cell274,1
cell122,0
cell873,0
cell377,1
cell1902,2
cell868,0
cell464,2
cell1297,0
cell33,0
cell655,0
cell1501,0
cell404,1
cell775,0
cell1145,0
cell275,1
cell900,0
cell1406,0
cell1180,0
cell1999,2
cell1676,3
cell1312,0
cell859,0
cell110,0
cell970,0
cell768,0
cell1907,2
cell1444,0
cell1332,0
cell1043,0
cell972,0
cell773,0
cell1954,2
cell381,1
cell1070,0
cell220,0
cell1987,2
cell139,0
cell799,0
cell452,2
cell1581,3
cell1057,0
cell1410,0
cell1887,2
cell1762,3
cell1589,3
cell1747,3
cell1076,0
cell708,0
cell433,2
cell1044,0
cell1122,0
cell1259,0
cell389,1
cell1187,0
cell502,2
cell1177,0
cell1841,2
cell941,0
cell1429,0
cell1587,3
cell222,0
cell1943,2
cell316,1
cell1248,0
cell752,0
cell530,2
cell1759,3
cell561,2
cell1900,2
cell609,0
cell993,0
cell399,1
cell1994,2
cell173,0
cell155,0
cell744,0
cell1161,0
cell1349,0
cell340,1
cell1875,2
cell730,0
cell597,0
cell792,0
cell235,0
cell1242,0
cell107,0
cell1465,0
cell711,0
cell1064,0
cell737,0
cell800,0
cell1439,0
cell888,0
cell1009,0
cell696,0
cell1769,3
cell1904,2
cell886,0
cell896,0
cell1188,0
cell358,1
cell542,2
cell56,0
cell1839,2
cell1693,3
cell774,0
cell683,0
cell28,0
cell1440,0
cell1203,0
cell1695,3
cell541,2
cell753,0
cell160,0
cell179,0
cell1419,0
cell1435,0
cell124,0
cell111,0
cell1720,3
cell39,0
cell1024,0
cell141,0
cell641,0
cell1534,0
cell1849,2
cell1920,2
cell1520,0
cell251,1
cell1753,3
cell1992,2
cell1643,3
cell727,0
cell1890,2
cell1952,2
cell910,0
cell1955,2
cell971,0
cell1795,3
cell112,0
cell1212,0
cell1205,0
cell1834,2
cell388,1
cell740,0
cell908,0
cell528,2
cell90,0
cell1951,2
cell325,1
cell619,0
cell849,0
cell543,2
cell1489,0
cell135,0
cell1116,0
cell602,0
cell1600,3
cell1513,0
cell872,0
cell834,0
cell1059,0
cell113,0
cell851,0
cell1845,2
cell367,1
cell1770,3
cell190,0
cell1567,3
cell1201,0
cell217,0
cell927,0
cell384,1
cell1642,3
cell880,0
cell1353,0
cell450,2
cell982,0
cell297,1
cell328,1
cell504,2
cell16,0
cell841,0
cell1768,3
cell684,0
cell412,1
cell1092,0
cell760,0
cell687,0
cell406,1
cell84,0
cell1969,2
cell447,2
cell1141,0
cell905,0
cell419,2
cell1681,3
cell1843,2
cell1102,0
cell579,2
cell566,2
cell839,0
cell698,0
cell637,0
cell1596,3
cell525,2
cell1322,0
cell762,0
cell1494,0
cell719,0
cell331,1
cell228,0
cell429,2
cell1689,3
cell755,0
cell363,1
cell420,2
cell1214,0
cell864,0
cell1901,2
cell1399,0
cell1921,2
cell1380,0
cell1167,0
cell265,1
cell189,0
cell1566,3
cell1226,0
cell1916,2
cell612,0
cell1530,0
cell763,0
cell1386,0
cell1949,2
cell512,2
cell569,2
cell5,0
cell901,0
cell293,1
cell1606,3
cell865,0
cell1190,0
cell1021,0
cell1241,0
cell672,0
cell1470,0
cell1975,2
cell244,0
cell1013,0
cell1176,0
cell1148,0
cell1355,0
cell817,0
cell1272,0
cell138,0
cell263,1
cell1132,0
cell1714,3
cell507,2
cell305,1
cell1372,0
cell1395,0
cell1525,0
cell1231,0
cell1605,3
cell1165,0
cell976,0
cell1797,3
cell184,0
cell758,0
cell1118,0
cell1772,3
cell1158,0
cell1523,0
cell295,1
cell1973,2
cell1042,0
cell1063,0
cell1407,0
cell1715,3
cell576,2
cell208,0
cell1608,3
cell44,0
cell1467,0
cell31,0
cell339,1
cell1183,0
cell769,0
cell1497,0
cell186,0
cell88,0
cell1764,3
cell1181,0
cell1611,3
cell1856,2
cell430,2
cell710,0
cell211,0
cell239,0
cell797,0
cell486,2
cell1253,0
cell617,0
cell1937,2
cell1150,0
cell1484,0
cell1156,0
cell1736,3
cell1945,2
cell657,0
cell413,1
cell1963,2
cell1363,0
cell511,2
cell945,0
cell66,0
cell961,0
cell869,0
cell1117,0
cell668,0
cell41,0
cell1115,0
cell473,2
cell1602,3
cell446,2
cell1893,2
cell38,0
cell1807,2
cell559,2
cell312,1
cell1641,3
cell1919,2
cell225,0
cell535,2
cell223,0
cell1023,0
cell1996,2
cell1864,2
cell540,2
cell1950,2
cell1816,2
cell557,2
cell1814,2
cell1844,2
cell346,1
cell1993,2
cell1708,3
cell198,0
cell289,1
cell912,0
cell616,0
cell13,0
cell806,0
cell300,1
cell302,1
cell1595,3
cell210,0
cell1481,0
cell824,0
cell759,0
cell1725,3
cell1196,0
cell818,0
cell1622,3
cell596,0
cell1620,3
cell174,0
cell45,0
cell887,0
cell732,0
cell178,0
cell1751,3
cell638,0
cell1749,3
cell1789,3
cell701,0
cell1273,0
cell21,0
cell92,0
cell658,0
cell1884,2
cell1143,0
cell1976,2
cell1927,2
cell1928,2
cell623,0
cell1675,3
cell662,0
cell1483,0
cell677,0
cell1443,0
cell1991,2
cell1617,3
cell870,0
cell425,2
cell1068,0
cell899,0
cell1269,0
cell96,0
cell1637,3
cell101,0
cell867,0
cell1978,2
cell1352,0
cell1405,0
cell203,0
cell1656,3
cell241,0
cell172,0
cell1938,2
cell536,2
cell1139,0
cell1910,2
cell212,0
cell1500,0
cell1163,0
cell54,0
cell1874,2
cell1111,0
cell417,2
cell1771,3
cell1164,0
cell480,2
cell960,0
cell248,1
cell784,0
cell338,1
cell1488,0
cell874,0
cell1777,3
cell1039,0
cell984,0
cell695,0
cell1590,3
cell564,2
cell1271,0
cell1627,3
cell1535,0
cell1532,0
cell23,0
cell1268,0
cell1886,2
cell648,0
cell1851,2
cell1871,2
cell421,2
cell109,0
cell1791,3
cell665,0
cell809,0
cell1124,0
cell1568,3
cell991,0
cell131,0
cell1806,2
cell556,2
cell981,0
cell1159,0
cell1960,2
cell1080,0
cell613,0
cell165,0
cell594,0
cell1823,2
cell1680,3
cell321,1
cell1077,0
cell731,0
cell846,0
cell62,0
cell1621,3
cell1240,0
cell374,1
cell1506,0
cell611,0
cell977,0
cell1460,0
cell1686,3
cell57,0
cell491,2
cell724,0
cell55,0
cell247,0
cell1319,0
cell1831,2
cell1414,0
cell463,2
cell963,0
cell1208,0
cell1206,0
