target,hub
11,hub1
13,hub3
14,hub3
15,hub1
16,hub1
17,hub2
18,hub2
20,hub1
21,hub1
22,hub1
23,hub2
24,hub3
25,hub1
27,hub3
29,hub1
3,hub3
30,hub3
31,hub2
32,hub2
33,hub3
34,hub3
35,hub1
36,hub3
37,hub3
38,hub1
39,hub1
4,hub1
40,hub1
42,hub2
43,hub1
44,hub1
45,hub2
46,hub2
47,hub1
48,hub3
49,hub1
5,hub1
50,hub3
51,hub1
52,hub1
54,hub3
57,hub1
6,hub1
60,hub2
61,hub1
62,hub1
63,hub2
64,hub1
65,hub1
66,hub3
67,hub2
68,hub1
69,hub3
71,hub1
72,hub2
76,hub3
79,hub2
8,hub1
80,hub2
81,hub1
83,hub3
84,hub2
86,hub3
88,hub2
89,hub1
9,hub3
90,hub1
91,hub2
92,hub2
93,hub1
94,hub1
95,hub2
96,hub3
97,hub2
98,hub1
99,hub1
